gameid,gamename,nratings,gamerank
63628.0,The Manhattan Project,8332.0,248.0
181279.0,Fury of Dracula (third/fourth edition),8325.0,190.0
21348.0,Ticket to Ride: Märklin,8318.0,264.0
91312.0,Discworld: Ankh-Morpork,8314.0,425.0
15363.0,Nexus Ops,8148.0,379.0
97842.0,Last Will,8125.0,371.0
198994.0,Hero Realms,8098.0,171.0
1115.0,Poker,8075.0,943.0
127060.0,Bora Bora,8068.0,169.0
5404.0,Amun-Re,8062.0,299.0
66362.0,Glen More,8052.0,282.0
197376.0,Charterstone,8046.0,158.0
224037.0,Codenames: Duet,8036.0,115.0
13823.0,Fairy Tale,8005.0,834.0
139030.0,Mascarade,7997.0,989.0
88.0,Torres,7975.0,444.0
27746.0,Colosseum,7966.0,383.0
27708.0,1960: The Making of the President,7963.0,168.0
150658.0,Pandemic: The Cure,7928.0,298.0
168435.0,Between Two Cities,7925.0,519.0
143693.0,Glass Road,7873.0,224.0
24181.0,Imperial,7854.0,161.0
59946.0,Dungeons & Dragons: Castle Ravenloft Board Game,7822.0,672.0
15818.0,Pickomino,7811.0,1156.0
133848.0,Euphoria: Build a Better Dystopia,7807.0,346.0
155068.0,Arcadia Quest,7806.0,109.0
73761.0,K2,7797.0,493.0
160851.0,Lanterns: The Harvest Festival,7772.0,634.0
155987.0,Abyss,7717.0,347.0
891.0,Cranium,7714.0,6851.0
12002.0,Jambo,7694.0,554.0
2987.0,Pirate's Cove,7625.0,1134.0
237182.0,Root,7612.0,53.0
327.0,Loopin' Louie,7565.0,765.0
117959.0,Las Vegas,7538.0,478.0
30380.0,Cuba,7518.0,446.0
27173.0,Vikings,7515.0,350.0
140.0,Pit,7487.0,1482.0
173.0,Formula Dé,7464.0,636.0
21523.0,Runebound (Second Edition),7460.0,766.0
112.0,Condottiere,7459.0,828.0
22345.0,Yspahan,7459.0,490.0
11170.0,Heroscape Master Set: Rise of the Valkyrie,7445.0,293.0
140934.0,Arboretum,7439.0,269.0
14105.0,Commands & Colors: Ancients,7438.0,107.0
266192.0,Wingspan,7424.0,47.0
4098.0,Age of Steam,7412.0,129.0
10.0,Elfenland,7409.0,873.0
36946.0,Red November,7389.0,1613.0
141572.0,Paperback,7361.0,359.0
24068.0,Shadow Hunters,7359.0,802.0
1234.0,Once Upon a Time: The Storytelling Card Game,7351.0,1417.0
13308.0,Niagara,7340.0,1216.0
915.0,Mystery of the Abbey,7326.0,1178.0
394.0,Kahuna,7304.0,980.0
2842.0,TransAmerica,7294.0,971.0
221107.0,Pandemic Legacy: Season 2,7283.0,31.0
66589.0,Navegador,7276.0,187.0
59294.0,Runewars,7262.0,175.0
2381.0,Scattergories,7255.0,2231.0
163968.0,Elysium,7251.0,352.0
51.0,Ricochet Robots,7243.0,620.0
185343.0,Anachrony,7212.0,48.0
176920.0,Mission: Red Planet (Second Edition),7195.0,216.0
21882.0,Blue Moon City,7188.0,553.0
2425.0,Battleship,7147.0,17150.0
826.0,Cartagena,7118.0,930.0
40398.0,Monopoly Deal Card Game,7108.0,1926.0
169426.0,Roll Player,7106.0,220.0
2398.0,Cribbage,7105.0,590.0
